fid	iid
130703514	4580
130703522	23236
130703527	31834
130703542	19327
130703550	2280
130703568	24201
130703572	2431
130703594	32003
130703595	32007
130703601	22906
130703603	23993
130703607	22670
130703613	5085
130703617	21761
130703628	20152
130703633	21643
130703637	22826
130703639	25604
130703644	22996
130703645	2001
130703647	24703
130703654	31889
130703661	23327
130703667	23118
130703677	31881
130703682	25422
130703685	2203
130703686	32000
130703688	20077
130703695	31915
130703697	21994
130703701	2394
130703736	23867
130703746	23636
130703748	31738
130703754	31914
130703755	2009
130703768	20452
130703773	2913
130703782	4171
130703789	2159
130703799	20385
130703824	4911
130703828	2338
130703829	22084
130703831	31802
130703834	31903
130703841	31832
130703845	20723
130703850	31680
130703852	26277
130703853	4756
130703859	22060
130703881	24210
130703887	25445
130703889	20476
130703906	31957
130703909	2570
130703912	2162
130703925	24930
130703936	19305
130703939	31763
130703942	22097
130703952	2356
130703956	26313
130703962	2425
130703966	23207
130703969	31947
130704002	2818
130704023	2087
130704024	4389
130704034	31749
130704035	23293
130704054	23227
130704056	32039
130704062	4933
130704065	23672
130704079	4413
130704081	31760
130704083	4499
130704087	26159
130704106	31769
130704110	32052
130704114	31710
130704128	32009
130704134	31843
130704161	19151
130704167	2863
130704177	21766
130704180	31864
130704181	23693
130704189	22013
130704201	21866
130704208	20432
130704212	23525
130704215	31716
130704216	22870
130704219	20399
130704221	4684
130704222	21701
130704229	2335
130704237	31907
130704240	20416
130704246	22314
130704255	31757
130704259	4398
130704262	2117
130704264	2247
130704274	2460
130704279	2517
130704283	31867
130704297	21998
130704330	22366
130704357	22054
130704366	29953
130704373	31850
130704377	2389
130704378	4942
130704386	31859
130704403	31351
130700004	2478
130700004	2479
130700010	23345
130700011	32139
130700017	4838
130700022	32165
130700032	25527
130700033	26400
130700040	32205
130700041	22801
130700065	2677
130700065	2678
130700070	23717
130700071	26464
130700071	26465
130700077	32232
130700078	32234
130700087	25496
130700090	32185
130700094	32079
130700098-130703140-130900098	19309
130700119	25547
130700125	21606
130700125	21607
130700133	32222
130700140	29935
130700153	4989
130700153	4990
130700199	23745
130700200	21773
130700200	21776
130700231	26437
130700231	26438
130700238	23767
130700240	22747
130700243	26471
130700243	26472
130700244	19204
130700246	4846
130700248	2504
130700257	29670
130700257	29671
130700258	26422
130700262	32155
130700267	2729
130700274	23705
130700274	23706
130700278	22941
130700278	22942
130700281	25550
130700281	25551
130700298	32108
130700304	24881
130700308	24984
130700316	2759
130700318	22757
130700337	19192
130700343	22022
130700351	23760
130700354	22794
130700358	2476
130700366	26493
130700366	26494
130700379	29637
130700387	26403
130700389	32203
130700390	2732
130700394	24052
130700395	26390
130700408	32179
130700413	22775
130700415	32088
130700434	22776
130700436	29744
130700454	5137
130700455	23352
130700459	24968
130700466	21628
130700471	32202
130700479	29703
130700482	4511
130700483	25556
130700505	24045
130700506	32225
130700516	23733
130700524	22777
130700532	26527
130700536	22749
130700548	2783
130700549	32152
130700552	22005
130700552	22006
130700555	25518
130700556	19230
130700561	5035
130700571	22067
130700572	22746
130700579	32094
130700582	2959
130700591	24224
130700593	22737
130700595	4526
130700597	20498
130700597	20499
130700602	26486
130700602	26487
130700605	24287
130700607	29764
130700612	23807
130700612	23808
130700612	23811
130700619	23130
130700619	23131
130700629	29631
130700631	26522
130700631	26523
130700634	23353
130700636	29745
130700647	32200
130700648	26217
130700660	32167
130700673	26524
130700678	2488
130700681	22754
130700684	23595
130700688	29760
130700689	19263
130700689	19264
130700699	29729
130700703	4861
130700717	32081
130700720	24969
130700721	2961
130700734	22700
130700747	23796
130700747	23797
130700748	23729
130700748	23732
130700755	2768
130700766	24049
130700782	32140
130700786	4455
130700806	2648
130700806	2649
130700809	22784
130700813	2776
130700819	26207
130700822	4844
130700825	24136
130700842	22936
130700850	2652
130700851	25444
130700873	24043
130700876	4529
130700886	32086
130700889	5003
130700892	24966
130700896	32201
130700898	2521
130700899	29746
130700909	22783
130700911	26499
130700913	22728
130700914	22797
130700916	2632
130700922	2955
130700931	29928
130700935	32170
130700950	2543
130700960	24880
130700962	32161
130700987	25482
130700987	25483
130700988	25563
130700988	25568
130700998	32221
130700999	25548
130701007	26426
130701007	26427
130701019	24833
130701021	4839
130701024	32183
130701033	32136
130701044	5037
130701054	29755
130701060	32174
130701065	24267
130701066	18977
130701069	32182
130701070	32197
130701072	32195
130701073	32120
130701082	32166
130701083	19234
130701090	24989
130701091	23662
130701094	19218
130701097	26517
130701100	2668
130701103	32175
130701106	32178
130701117	29781
130701124	2475
130701131	25014
130701132	26419
130701148	25434
130701149	32135
130701153	23618
130701157	22703
130701160	32145
130701163	2836
130701164	24835
130701167	32187
130701173	2936
130701174	23819
130701181	2683
130701182	2800
130701185	32164
130701202	2867
130701207	32087
130701214	32173
130701215	23355
130701217	4845
130701219	22822
130701227	25475
130701234	26508
130701234	26511
130701236	22713
130701236	22714
130701238	2791
130701238	2792
130701240	17941
130701251	2782
130701259	32209
130701262	4847
130701264	26265
130701284	5053
130701293	26467
130701293	26468
130701295	22744
130701296	32159
130701297	2825
130701299	29747
130701302	29751
130701314	19315
130701318	24970
130701327	32101
130701337	25003
130701337	25004
130701344	26497
130701355	32224
130701365	32107
130701366	22791
130701367	21409
130701367	21410
130701372	2738
130701374	32207
130701378	32125
130701384	24272
130701392	32105
130701396	29641
130701404	32220
130701408	29690
130701409	23337
130701420	32075
130701421	29741
130701426	2839
130701435	32212
130701446	5001
130701457	2555
130701457	2556
130701462	2674
130701466	4443
130701469	32117
130701472	4538
130701481	4852
130701485	20445
130701492	24961
130701493	2873
130701495	22731
130701499	32085
130701500	29721
130701522	29780
130701523	24901
130701524	29748
130701540	25500
130701551	20533
130701551	20534
130701559	29685
130701559	29688
130701560	32158
130701561	23709
130701575	25442
130701579	23652
130701583	26515
130701586	22759
130701592	29617
130701592	29618
130701594	4520
130701599	26519
130701599	26520
130701612	25015
130701614	26489
130701614	26490
130701617	24877
130701623	19182
130701633	24805
130701634	32128
130701635	32215
130701636	26484
130701669	2741
130701674	26482
130701681	29759
130701685	22742
130701685	22743
130701695	32228
130701707	2629
130701714	4850
130701717	26412
130701724	2871
130701729	25053
130701735	20449
130701735	20450
130701738	32204
130701751	4843
130701753	2906
130701766	19265
130701766	19267
130701772	29777
130701781	24967
130701782	4864
130701793	21423
130701793	21426
130701795	24983
130701799	32116
130701806	2926
130701806	2927
130701816	23512
130701823	4849
130701831	26474
130701831	26475
130701832	29929
130701834	5038
130701835	32191
130701839	24876
130701847	4834
130701848	26528
130701852	32216
130701859	21620
130701859	21621
130701862	29674
130701871	24050
130701873	32130
130701875	25016
130701882	23162
130701882	23163
130701883	32198
130701890	2883
130701897	32206
130701909	32177
130701923	19228
130701928	32110
130701929	25488
130701931	24974
130701950	23351
130701951	32084
130701956	32176
130701959	25443
130701967	24976
130701976	2930
130701978	1127
130702007	24866
130702013	26368
130702022	22947
130702022	22948
130702025	32089
130702036	24874
130702048	26451
130702052	22764
130702068	23802
130702068	23803
130702069	4532
130702074	4837
130702075	23348
130702082	2886
130702083	32109
130702084	23513
130702085	32102
130702088	2958
130702089	32118
130702096	32146
130702108	22711
130702109	32100
130702111	25537
130702111	25538
130702115	19177
130702116	24978
130702117	24883
130702123	29718
130702124	32229
130702130	29653
130702130	29654
130702131	26450
130702133	25506
130702136	29786
130702136	29790
130702141	2563
130702145	26369
130702148	23659
130702149	32129
130702152	22701
130702154	2945
130702154	2946
130702160	5041
130702160	5042
130702169	2594
130702170	5054
130702173	31350
130702196	20495
130702196	20496
130702200	25540
130702201	4508
130702202	24044
130702206	32157
130702209	19307
130702222	24929
130702224	32196
130702230	22756
130702232	26271
130702240	23370
130702241	24902
130702256	29706
130702256	29707
130702257	2843
130702258	32112
130702262	22740
130702293	29698
130702307	32096
130702309	4836
130702318	2923
130702323	24882
130702324	2753
130702329	23708
130702330	2494
130702334	5047
130702345	32213
130702355	26378
130702356	32156
130702360	29678
130702360	29679
130702363	20482
130702364	32133
130702374	25508
130702391	32143
130702392	2797
130702395	32124
130702397	1112
130702397	1113
130702399	22766
130702400	2482
130702406	29761
130702408	4434
130702425	4841
130702433	22698
130702444	32122
130702446	4547
130702448	4310
130702449	5006
130702449	5007
130702452	22765
130702456	19162
130702457	25492
130702457	25493
130702474	23511
130702477	24879
130702490	24975
130702493	4535
130702515	24840
130702537	23029
130702542	25000
130702556	29723
130702568	22716
130702580	2940
130702590	32188
130702596	2859
130702602	32113
130702616	32180
130702618	32211
130702636	29724
130702637	4523
130702640	5004
130702643	4550
130702644	22752
130702648	24873
130702650	4869
130702651	32151
130702657	32162
130702659	23356
130702663	24230
130702669	1121
130702672	23609
130702673	20507
130702677	24265
130702678	23815
130702680	26376
130702684	22755
130702685	5045
130702696	29743
130702705	22751
130702713	23607
130702713	23608
130702714	23011
130702728	22989
130702732	29667
130702732	29668
130702734	32218
130702741	32169
130702746	23167
130702746	23168
130702765	24915
130702776	2910
130702781	29749
130702787	24982
130702789	19184
130702789	19185
130702790	2332
130702791	25487
130702793	26208
130702797	26424
130702798	25001
130702802	25469
130702809	32148
130702811	4868
130702813	29620
130702819	24051
130702828	2626
130702831	22760
130702832	24762
130702847	24907
130702856	2899
130702866	24965
130702867	29714
130702867	29715
130702872	2762
130702883	22778
130702892	24987
130702893	24053
130702895	23736
130702901	22745
130702907	1118
130702910	23594
130702923	4437
130702927	2689
130702930	4871
130702933	22788
130702934	24042
130702938	32099
130702940	22758
130702951	32144
130702954	32126
130702961	20488
130702963	4307
130702967	23758
130702968	22787
130702978	19188
130702981	29877
130702996	2623
130702996	2624
130703007	32181
130703009	4304
130703020	24836
130703039	21393
130703039	21394
130703043	25511
130703043	25516
130703047	2939
130703052	2750
130703053	2513
130703056	26454
130703060	23039
130703060	23040
130703062	22792
130703067	32103
130703070	24834
130703074	23441
130703074	23443
130703078	32098
130703116	32137
130703119	22748
130703127	29782
130703128	26435
130703131	5009
130703142	19251
130703142	19253
130703143	2756
130703145	19220
130703154	4862
130703156	32168
130703161	32106
130703164	23453
130703164	23454
130703168	32119
130703169	32141
130703177	32223
130703178	32142
130703188	23721
130703188	23722
130703193	2948
130703198	26219
130703204	25478
130703204	25479
130703205	2422
130703232	19381
130703232	19382
130703232	19383
130703232	19384
130703237	32154
130703249	2662
130703265	24878
130703267	32092
130703273	2815
130703277	22750
130703283	22697
130703297	4313
130703298	23757
130703314	29766
130703329	32114
130703331	32194
130703344	22779
130703348	24146
130703351	23342
130703354	4301
130703365	19238
130703366	23354
130703382	25017
130703383	32235
130703386	2671
130703395	2942
130703403	19169
130703421	32080
130703428	2846
130703430	26506
130703433	32127
130703436	22763
130703437	29710
130703438	24867
130703441	4425
130703442	29756
130703443	2228
130703450	23773
130703451	19273
130703453	32217
130703454	32171
130703456	2665
130703460	17936
130703460	17940
130703473	5039
130703475	4440
130703479	23792
130703479	23793
130703480	24910
130703486	29754
130703487	29627
130703489	29650
130703497	2806
130703506	26372
130703508	32104
130703510	32138
130703513	26432
130703519	5010
130703520	4517
130703526	22702
130703528	4860
130703532	29727
130703535	23661
130703556	32134
130703563	5139
130703563	5140
130703569	29878
130703578	23339
130703578	23340
130703596	22780
130703608	32163
130703610	4422
130703626	24972
130703632	4872
130703638	25520
130703638	25521
130703641	26373
130703653	32210
130703655	2920
130703675	25013
130703679	25517
130703689	2546
130703693	32150
130703712	32153
130703715	25472
130703716	24909
130703717	29664
130703717	29665
130703718	22753
130703725	32192
130703733	32199
130703758	23786
130703759	2794
130703760	4446
130703764	19248
130703769	2491
130703780	25008
130703800	26496
130703801	2749
130703805	20123
130703811	2735
130703818	32190
130703825	25432
130703830	4848
130703835	32076
130703848	2911
130703851	24268
130703857	21691
130703870	26209
130703876	32123
130703883	2812
130703896	22734
130703901	24271
130703913	2870
130703916	23438
130703919	32111
130703926	24269
130703929	2520
130703935	29681
130703935	29682
130703937	2803
130703949	23699
130703950	22722
130703951	24270
130703976	24973
130703977	20463
130703977	20464
130703980	23777
130703981	26218
130703983	2822
130703986	29634
130703987	32233
130703989	2889
130703990	29762
130703991	26267
130703991	26268
130703995	22916
130703995	22917
130703996	23426
130703996	23429
130704008	24796
130704016	25489
130704028	22793
130704029	32083
130704030	24908
130704031	4842
130704037	2659
130704043	22952
130704045	24942
130704052	24153
130704055	24884
130704063	22771
130704064	4449
130704066	4428
130704067	23660
130704071	23726
130704075	25433
130704077	26446
130704093	23001
130704101	21651
130704101	21652
130704112	1124
130704116	32097
130704122	23656
130704124	19270
130704140	24977
130704147	2537
130704147	2538
130704148	2610
130704151	2640
130704159	24981
130704168	32193
130704173	24913
130704174	32082
130704182	24941
130704190	2785
130704196	24145
130704205	23663
130704206	19285
130704206	19287
130704207	21616
130704207	21617
130704224	22851
130704225	25054
130704227	22725
130704235	32219
130704238	24971
130704241	26456
130704241	26458
130704241	26459
130704251	25523
130704251	25524
130704252	23445
130704265	24837
130704269	26414
130704269	26417
130704270	1115
130704272	23350
130704285	32090
130704288	32186
130704296	23759
130704311	23349
130704312	26269
130704313	2892
130704317	26441
130704318	2498
130704318	2499
130704319	32093
130704321	25507
130704325	22705
130704329	4974
130704329	4975
130704344	32077
130704355	2744
130704356	32189
130704383	17971
130704383	17972
130704390	32132
130704391	23712
130704392	2809
130900813	2780
130902636	29725
130903996	23433
